            TIME               X               Y               Z              BX              BY              BZ             BMM         COMMENT
  1483228800.000          -3.669          -0.000          -0.866         266.806          -0.076        -310.739         409.566    -           
  1483228800.000          -3.663          -0.000          -0.874         270.220          -0.076        -310.640         411.723    -           
  1483228800.000          -3.656          -0.000          -0.881         273.656          -0.075        -310.537         413.909    -           
  1483228800.000          -3.649          -0.000          -0.889         277.114          -0.075        -310.430         416.124    -           
  1483228800.000          -3.643          -0.000          -0.896         280.595          -0.074        -310.318         418.367    -           
  1483228800.000          -3.636          -0.000          -0.904         284.099          -0.074        -310.201         420.638    -           
  1483228800.000          -3.629          -0.000          -0.911         287.626          -0.074        -310.079         422.939    -           
  1483228800.000          -3.622          -0.000          -0.918         291.176          -0.073        -309.953         425.270    -           
  1483228800.000          -3.615          -0.000          -0.926         294.751          -0.073        -309.821         427.629    -           
  1483228800.000          -3.609          -0.000          -0.933         298.350          -0.072        -309.683         430.019    -           
  1483228800.000          -3.602          -0.000          -0.940         301.973          -0.072        -309.541         432.439    -           
  1483228800.000          -3.595          -0.000          -0.947         305.622          -0.071        -309.393         434.889    -           
  1483228800.000          -3.588          -0.000          -0.954         309.295          -0.071        -309.239         437.369    -           
  1483228800.000          -3.580          -0.000          -0.961         312.994          -0.070        -309.079         439.881    -           
  1483228800.000          -3.573          -0.000          -0.968         316.719          -0.070        -308.913         442.423    -           
  1483228800.000          -3.566          -0.000          -0.975         320.471          -0.069        -308.741         444.997    -           
  1483228800.000          -3.559          -0.000          -0.982         324.249          -0.069        -308.563         447.603    -           
  1483228800.000          -3.552          -0.000          -0.989         328.053          -0.069        -308.378         450.240    -           
  1483228800.000          -3.544          -0.000          -0.996         331.886          -0.068        -308.187         452.910    -           
  1483228800.000          -3.537          -0.000          -1.003         335.745          -0.068        -307.989         455.612    -           
  1483228800.000          -3.530          -0.000          -1.009         339.633          -0.067        -307.784         458.347    -           
  1483228800.000          -3.522          -0.000          -1.016         343.550          -0.067        -307.572         461.115    -           
  1483228800.000          -3.515          -0.000          -1.023         347.495          -0.066        -307.353         463.916    -           
  1483228800.000          -3.507          -0.000          -1.029         351.469          -0.065        -307.126         466.751    -           
  1483228800.000          -3.500          -0.000          -1.036         355.472          -0.065        -306.892         469.621    -           
  1483228800.000          -3.492          -0.000          -1.042         359.506          -0.064        -306.650         472.524    -           
  1483228800.000          -3.484          -0.000          -1.049         363.570          -0.064        -306.401         475.462    -           
  1483228800.000          -3.477          -0.000          -1.055         367.664          -0.063        -306.143         478.435    -           
  1483228800.000          -3.469          -0.000          -1.062         371.790          -0.063        -305.876         481.444    -           
  1483228800.000          -3.461          -0.000          -1.068         375.947          -0.062        -305.602         484.488    -           
  1483228800.000          -3.454          -0.000          -1.074         380.136          -0.062        -305.318         487.568    -           
  1483228800.000          -3.446          -0.000          -1.081         384.357          -0.061        -305.026         490.685    -           
  1483228800.000          -3.438          -0.000          -1.087         388.611          -0.061        -304.725         493.838    -           
  1483228800.000          -3.430          -0.000          -1.093         392.898          -0.060        -304.415         497.028    -           
  1483228800.000          -3.422          -0.000          -1.099         397.219          -0.059        -304.095         500.256    -           
  1483228800.000          -3.414          -0.000          -1.105         401.573          -0.059        -303.765         503.522    -           
  1483228800.000          -3.406          -0.000          -1.111         405.962          -0.058        -303.426         506.826    -           
  1483228800.000          -3.398          -0.000          -1.117         410.386          -0.058        -303.077         510.169    -           
  1483228800.000          -3.390          -0.000          -1.123         414.845          -0.057        -302.717         513.551    -           
  1483228800.000          -3.382          -0.000          -1.129         419.340          -0.056        -302.347         516.972    -           
  1483228800.000          -3.374          -0.000          -1.135         423.871          -0.056        -301.967         520.433    -           
  1483228800.000          -3.366          -0.000          -1.140         428.439          -0.055        -301.575         523.935    -           
  1483228800.000          -3.357          -0.000          -1.146         433.044          -0.054        -301.172         527.477    -           
  1483228800.000          -3.349          -0.000          -1.152         437.686          -0.054        -300.758         531.060    -           
  1483228800.000          -3.341          -0.000          -1.158         442.367          -0.053        -300.332         534.685    -           
  1483228800.000          -3.333          -0.000          -1.163         447.086          -0.052        -299.895         538.352    -           
  1483228800.000          -3.324          -0.000          -1.169         451.845          -0.052        -299.445         542.062    -           
  1483228800.000          -3.316          -0.000          -1.174         456.642          -0.051        -298.984         545.815    -           
  1483228800.000          -3.308          -0.000          -1.180         461.480          -0.050        -298.509         549.611    -           
  1483228800.000          -3.299          -0.000          -1.185         466.359          -0.050        -298.022         553.451    -           
  1483228800.000          -3.291          -0.000          -1.190         471.279          -0.049        -297.521         557.335    -           
  1483228800.000          -3.282          -0.000          -1.196         476.240          -0.048        -297.008         561.265    -           
  1483228800.000          -3.274          -0.000          -1.201         481.243          -0.047        -296.480         565.239    -           
  1483228800.000          -3.265          -0.000          -1.206         486.289          -0.047        -295.939         569.260    -           
  1483228800.000          -3.257          -0.000          -1.211         491.379          -0.046        -295.384         573.328    -           
  1483228800.000          -3.248          -0.000          -1.217         496.512          -0.045        -294.814         577.442    -           
  1483228800.000          -3.240          -0.000          -1.222         501.689          -0.045        -294.230         581.604    -           
  1483228800.000          -3.231          -0.000          -1.227         506.912          -0.044        -293.630         585.814    -           
  1483228800.000          -3.222          -0.000          -1.232         512.180          -0.043        -293.015         590.073    -           
  1483228800.000          -3.214          -0.000          -1.237         517.494          -0.042        -292.385         594.381    -           
  1483228800.000          -3.205          -0.000          -1.241         522.855          -0.041        -291.738         598.739    -           
  1483228800.000          -3.196          -0.000          -1.246         528.263          -0.041        -291.076         603.147    -           
  1483228800.000          -3.187          -0.000          -1.251         533.719          -0.040        -290.396         607.607    -           
  1483228800.000          -3.178          -0.000          -1.256         539.223          -0.039        -289.700         612.118    -           
  1483228800.000          -3.170          -0.000          -1.261         544.777          -0.038        -288.987         616.681    -           
  1483228800.000          -3.161          -0.000          -1.265         550.380          -0.037        -288.256         621.297    -           
  1483228800.000          -3.152          -0.000          -1.270         556.034          -0.036        -287.508         625.967    -           
  1483228800.000          -3.143          -0.000          -1.274         561.739          -0.036        -286.741         630.691    -           
  1483228800.000          -3.134          -0.000          -1.279         567.496          -0.035        -285.955         635.470    -           
  1483228800.000          -3.125          -0.000          -1.283         573.305          -0.034        -285.151         640.304    -           
  1483228800.000          -3.116          -0.000          -1.288         579.167          -0.033        -284.327         645.195    -           
  1483228800.000          -3.107          -0.000          -1.292         585.083          -0.032        -283.484         650.142    -           
  1483228800.000          -3.098          -0.000          -1.297         591.053          -0.031        -282.621         655.147    -           
  1483228800.000          -3.089          -0.000          -1.301         597.078          -0.030        -281.737         660.211    -           
  1483228800.000          -3.080          -0.000          -1.305         603.160          -0.029        -280.832         665.333    -           
  1483228800.000          -3.071          -0.000          -1.309         609.298          -0.028        -279.906         670.516    -           
  1483228800.000          -3.062          -0.000          -1.313         615.493          -0.027        -278.959         675.759    -           
  1483228800.000          -3.053          -0.000          -1.318         621.747          -0.027        -277.989         681.063    -           
  1483228800.000          -3.044          -0.000          -1.322         628.059          -0.026        -276.997         686.430    -           
  1483228800.000          -3.035          -0.000          -1.326         634.431          -0.025        -275.982         691.859    -           
  1483228800.000          -3.025          -0.000          -1.330         640.864          -0.024        -274.944         697.352    -           
  1483228800.000          -3.016          -0.000          -1.334         647.357          -0.023        -273.882         702.910    -           
  1483228800.000          -3.007          -0.000          -1.337         653.913          -0.022        -272.795         708.533    -           
  1483228800.000          -2.998          -0.000          -1.341         660.532          -0.021        -271.684         714.223    -           
  1483228800.000          -2.988          -0.000          -1.345         667.214          -0.020        -270.548         719.980    -           
  1483228800.000          -2.979          -0.000          -1.349         673.961          -0.018        -269.387         725.805    -           
  1483228800.000          -2.970          -0.000          -1.352         680.773          -0.017        -268.199         731.698    -           
  1483228800.000          -2.961          -0.000          -1.356         687.651          -0.016        -266.984         737.662    -           
  1483228800.000          -2.951          -0.000          -1.360         694.597          -0.015        -265.742         743.696    -           
  1483228800.000          -2.942          -0.000          -1.363         701.611          -0.014        -264.473         749.802    -           
  1483228800.000          -2.933          -0.000          -1.367         708.693          -0.013        -263.175         755.981    -           
  1483228800.000          -2.923          -0.000          -1.370         715.846          -0.012        -261.849         762.234    -           
  1483228800.000          -2.914          -0.000          -1.374         723.069          -0.011        -260.494         768.561    -           
  1483228800.000          -2.904          -0.000          -1.377         730.364          -0.010        -259.108         774.964    -           
  1483228800.000          -2.895          -0.000          -1.380         737.732          -0.009        -257.693         781.444    -           
  1483228800.000          -2.885          -0.000          -1.384         745.174          -0.007        -256.246         788.001    -           
  1483228800.000          -2.876          -0.000          -1.387         752.690          -0.006        -254.768         794.637    -           
  1483228800.000          -2.866          -0.000          -1.390         760.282          -0.005        -253.257         801.354    -           
  1483228800.000          -2.857          -0.000          -1.393         767.951          -0.004        -251.714         808.151    -           
  1483228800.000          -2.847          -0.000          -1.396         775.697          -0.003        -250.137         815.031    -           
  1483228800.000          -2.838          -0.000          -1.399         783.523          -0.001        -248.527         821.993    -           
  1483228800.000          -2.828          -0.000          -1.402         791.428          -0.000        -246.882         829.041    -           
  1483228800.000          -2.819          -0.000          -1.405         799.414           0.001        -245.201         836.174    -           
  1483228800.000          -2.809          -0.000          -1.408         807.483           0.002        -243.484         843.394    -           
  1483228800.000          -2.800          -0.000          -1.411         815.635           0.004        -241.731         850.702    -           
  1483228800.000          -2.790          -0.000          -1.414         823.871           0.005        -239.941         858.100    -           
  1483228800.000          -2.781          -0.000          -1.417         832.193           0.006        -238.112         865.588    -           
  1483228800.000          -2.771          -0.000          -1.419         840.602           0.008        -236.244         873.168    -           
  1483228800.000          -2.761          -0.000          -1.422         849.098           0.009        -234.337         880.841    -           
  1483228800.000          -2.752          -0.000          -1.425         857.684           0.010        -232.389         888.610    -           
  1483228800.000          -2.742          -0.000          -1.427         866.360           0.012        -230.401         896.474    -           
  1483228800.000          -2.732          -0.000          -1.430         875.129           0.013        -228.370         904.435    -           
  1483228800.000          -2.723          -0.000          -1.432         883.990           0.015        -226.297         912.496    -           
  1483228800.000          -2.713          -0.000          -1.435         892.945           0.016        -224.180         920.656    -           
  1483228800.000          -2.703          -0.000          -1.437         901.996           0.018        -222.019         928.919    -           
  1483228800.000          -2.694          -0.000          -1.439         911.144           0.019        -219.813         937.284    -           
  1483228800.000          -2.684          -0.000          -1.442         920.391           0.021        -217.561         945.755    -           
  1483228800.000          -2.674          -0.000          -1.444         929.737           0.022        -215.261         954.331    -           
  1483228800.000          -2.664          -0.000          -1.446         939.184           0.024        -212.914         963.016    -           
  1483228800.000          -2.655          -0.000          -1.449         948.734           0.025        -210.518         971.810    -           
  1483228800.000          -2.645          -0.000          -1.451         958.389           0.027        -208.073         980.715    -           
  1483228800.000          -2.635          -0.000          -1.453         968.148           0.028        -205.576         989.734    -           
  1483228800.000          -2.625          -0.000          -1.455         978.015           0.030        -203.028         998.866    -           
  1483228800.000          -2.615          -0.000          -1.457         987.991           0.031        -200.428        1008.115    -           
  1483228800.000          -2.606          -0.000          -1.459         998.076           0.033        -197.773        1017.483    -           
  1483228800.000          -2.596          -0.000          -1.461        1008.274           0.035        -195.064        1026.970    -           
