#      L (RS)      LAT (degrees)        m=0             m=1             m=2             m=3             m=4             m=5       
     4.35732246     64.72227776      0.22572882      1.41920285      2.49244228      3.54825586      4.59897436      5.64532411
     4.31621431     64.59358191      0.23830510      1.50896667      2.65116859      3.77526381      4.89257118      6.00650993
     4.27547915     64.46487436      0.24747332      1.60512432      2.82286204      4.01832487      5.20738772      6.39683509
     4.23611355     64.33615642      0.26214385      1.70590270      3.00045858      4.27572925      5.54324130      6.80525363
     4.19706874     64.20742938      0.27614068      1.81655800      3.19719600      4.55652763      5.90544566      7.25167380
     4.15847737     64.07869454      0.28979950      1.93733734      3.41272022      4.86641727      6.30850380      7.74622355
     4.12054487     63.94995320      0.30586317      2.06942060      3.64920198      5.20304650      6.74593214      8.28429340
     4.08356633     63.82120665      0.32219730      2.21481671      3.90496818      5.55815752      7.22132604      8.87011170
     4.04729675     63.69245621      0.33913835      2.36943083      4.18368951      5.96542740      7.73777153      9.50455146
     4.01137719     63.58931517      0.35879068      2.54221280      4.49118873      6.40486029      8.30840647     10.20359043
     3.97623264     63.46067661      0.37886253      2.72894671      4.82102089      6.87925228      8.92437228     10.96249402
     3.94139798     63.33203779      0.40104873      2.92996145      5.18600860      7.40045893      9.60460038     11.79841465
     3.90732005     63.20340001      0.42600677      3.15662979      5.58092509      7.97127319     10.34349044     12.69553819
